"“ерминал";"ƒень недели";"ƒата";"¬алюта";"1€ кассета: номинал";"1€ кассета: количество";"1€ кассета: статус";"2€ кассета: номинал";"2€ кассета: количество";"2€ кассета: статус";"3€ кассета: номинал";"3€ кассета: количество";"3€ кассета: статус";"4€ кассета: номинал";"4€ кассета: количество";"4€ кассета: статус";"кол-во банкнот в сбросовой кассете";"сумма в банкомате на начало суток";"сумма выданых наличных за сутки"
"000002";"4";"01.01.2015";"BYR";"50000";"1614";"1";"100000";"1401";"1";"200000";"1131";"1";"0";"0";"0";"39";"447000000";"0"
"000002";"4";"01.01.2015";"USD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"0";"0";"39";"0";"0"
"000002";"5";"02.01.2015";"BYR";"50000";"1614";"1";"100000";"1401";"1";"200000";"1131";"1";"0";"0";"0";"39";"447000000";"0"
"000002";"5";"02.01.2015";"USD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"0";"0";"39";"0";"0"
"000002";"6";"03.01.2015";"BYR";"50000";"1558";"1";"100000";"1326";"1";"200000";"1045";"1";"0";"0";"0";"39";"419500000";"26250000"
"000002";"6";"03.01.2015";"USD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"0";"0";"39";"0";"0"
"000002";"7";"04.01.2015";"BYR";"50000";"1513";"1";"100000";"1264";"1";"200000";"956";"1";"0";"0";"0";"48";"393250000";"35050000"
"000002";"7";"04.01.2015";"USD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"0";"0";"48";"0";"0"
"000002";"1";"05.01.2015";"BYR";"50000";"1438";"1";"100000";"1173";"1";"200000";"845";"1";"0";"0";"0";"48";"358200000";"138650000"
"000002";"1";"05.01.2015";"USD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"0";"0";"48";"0";"0"
"000002";"2";"06.01.2015";"BYR";"50000";"2189";"1";"100000";"2151";"1";"200000";"2083";"1";"0";"0";"0";"3";"741150000";"130600000"
"000002";"2";"06.01.2015";"USD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"0";"0";"3";"0";"0"
"000002";"3";"07.01.2015";"BYR";"50000";"1905";"1";"100000";"1819";"1";"200000";"1667";"1";"0";"0";"0";"3";"610550000";"0"
"000002";"3";"07.01.2015";"USD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"0";"0";"3";"0";"0"
"000002";"4";"08.01.2015";"BYR";"50000";"1905";"1";"100000";"1819";"1";"200000";"1667";"1";"0";"0";"0";"3";"610550000";"164550000"
"000002";"4";"08.01.2015";"USD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"0";"0";"3";"0";"0"
"000002";"5";"09.01.2015";"BYR";"50000";"1594";"1";"100000";"1401";"1";"200000";"1131";"1";"0";"0";"0";"3";"446000000";"133700000"
"000002";"5";"09.01.2015";"USD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"0";"0";"3";"0";"0"
"000002";"6";"10.01.2015";"BYR";"50000";"1304";"1";"100000";"1033";"1";"200000";"719";"0";"0";"0";"0";"3";"312300000";"0"
"000002";"6";"10.01.2015";"USD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"0";"0";"3";"0";"0"
"000002";"7";"11.01.2015";"BYR";"50000";"838";"1";"100000";"371";"1";"200000";"0";"0";"0";"0";"0";"7";"79000000";"79000000"
"000002";"7";"11.01.2015";"USD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"0";"0";"7";"0";"0"
"000002";"1";"12.01.2015";"BYR";"50000";"0";"0";"100000";"0";"0";"200000";"0";"0";"0";"0";"0";"8";"0";"67950000"
"000002";"1";"12.01.2015";"USD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"0";"0";"8";"0";"0"
"000002";"2";"13.01.2015";"BYR";"50000";"2246";"1";"100000";"2199";"1";"200000";"2118";"1";"0";"0";"0";"3";"755800000";"352200000"
"000002";"2";"13.01.2015";"USD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"0";"0";"3";"0";"0"
"000002";"3";"14.01.2015";"BYR";"50000";"1501";"1";"100000";"1245";"1";"200000";"919";"1";"0";"0";"0";"3";"383350000";"224750000"
"000002";"3";"14.01.2015";"USD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"0";"0";"3";"0";"0"
"000002";"4";"15.01.2015";"BYR";"50000";"1034";"1";"100000";"651";"1";"200000";"209";"1";"0";"0";"0";"3";"158600000";"260000000"
"000002";"4";"15.01.2015";"USD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"0";"0";"3";"0";"0"
"000002";"5";"16.01.2015";"BYR";"50000";"2143";"1";"100000";"2074";"1";"200000";"1946";"1";"0";"0";"0";"33";"703750000";"220950000"
"000002";"5";"16.01.2015";"USD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"0";"0";"33";"0";"0"
"000002";"6";"17.01.2015";"BYR";"50000";"1646";"1";"100000";"1487";"1";"200000";"1259";"1";"0";"0";"0";"33";"482800000";"148150000"
"000002";"6";"17.01.2015";"USD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"0";"0";"33";"0";"0"
"000002";"7";"18.01.2015";"BYR";"50000";"1359";"1";"100000";"1105";"1";"200000";"781";"1";"0";"0";"0";"33";"334650000";"36750000"
"000002";"7";"18.01.2015";"USD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"0";"0";"33";"0";"0"
"000002";"1";"19.01.2015";"BYR";"50000";"1284";"1";"100000";"1015";"1";"200000";"661";"1";"0";"0";"0";"33";"297900000";"105950000"
"000002";"1";"19.01.2015";"USD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"0";"0";"33";"0";"0"
"000002";"2";"20.01.2015";"BYR";"50000";"1065";"1";"100000";"733";"1";"200000";"327";"1";"0";"0";"0";"33";"191950000";"8800000"
"000002";"2";"20.01.2015";"USD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"0";"0";"33";"0";"0"
"000002";"3";"21.01.2015";"BYR";"50000";"1049";"1";"100000";"715";"1";"200000";"296";"1";"0";"0";"0";"47";"183150000";"18100000"
"000002";"3";"21.01.2015";"USD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"0";"0";"47";"0";"0"
"000002";"4";"22.01.2015";"BYR";"50000";"2349";"1";"100000";"2332";"1";"200000";"2311";"1";"0";"0";"0";"4";"812850000";"84450000"
"000002";"4";"22.01.2015";"USD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"0";"0";"4";"0";"0"
